,year,count
0,1922,1
1,1923,3
2,1925,1
3,1926,19
4,1927,13
5,1928,7
6,1929,16
7,1930,32
8,1931,18
9,1932,59
10,1933,48
11,1934,49
12,1935,26
13,1936,68
14,1937,508
15,1938,864
16,1939,1112
17,1940,1224
18,1941,1054
19,1942,827
20,1943,788
21,1944,1016
22,1945,846
23,1946,1065
24,1947,717
25,1948,738
26,1949,944
27,1950,940
28,1951,664
29,1952,964
30,1953,870
31,1954,1002
32,1955,1081
33,1956,1182
34,1957,1239
35,1958,1110
36,1959,1164
37,1960,988
38,1961,1518
39,1962,1329
40,1963,1071
41,1964,1164
42,1965,839
43,1966,936
44,1967,874
45,1968,792
46,1969,1055
47,1970,679
48,1971,589
49,1972,707
50,1973,778
51,1974,518
52,1975,618
53,1976,551
54,1977,472
55,1978,779
56,1979,653
57,1980,632
58,1981,688
59,1982,700
60,1983,893
61,1984,951
62,1985,1165
63,1986,1290
64,1987,2256
65,1988,2633
66,1989,2764
67,1990,2256
68,1991,2363
69,1992,1620
70,1993,2795
71,1994,2374
72,1995,3078
73,1996,2676
74,1997,2480
75,1998,7856
76,1999,3317
77,2000,9661
78,2001,4429
79,2002,3896
80,2003,3831
81,2004,3681
82,2005,2417
83,2006,3579
84,2007,3383
85,2008,4090
86,2009,5940
87,2010,1634
88,2011,1557
89,2012,5703
90,2013,1353
91,2014,2956
92,2015,4058
93,2016,3674
94,2017,5306
95,2018,3820
96,2019,3338
97,2020,1270
98,2021,1418
99,2022,443
